seqnames	start	end	width	strand	protein_id	tx_id	exon_id	exon_rank	cds_ok	protein_start	protein_end
LRG_763	119277	119419	143	+	LRG_763p1	LRG_763t1	LRG_763t1e40	40	TRUE	1	3144
LRG_763	130058	130265	208	+	LRG_763p1	LRG_763t1	LRG_763t1e41	41	TRUE	1	3144
LRG_763	134333	134474	142	+	LRG_763p1	LRG_763t1	LRG_763t1e42	42	TRUE	1	3144
LRG_763	136822	137001	180	+	LRG_763p1	LRG_763t1	LRG_763t1e43	43	TRUE	1	3144
LRG_763	137133	137309	177	+	LRG_763p1	LRG_763t1	LRG_763t1e44	44	TRUE	1	3144
LRG_763	137607	137683	77	+	LRG_763p1	LRG_763t1	LRG_763t1e45	45	TRUE	1	3144
LRG_763	139099	139237	139	+	LRG_763p1	LRG_763t1	LRG_763t1e46	46	TRUE	1	3144
LRG_763	140153	140275	123	+	LRG_763p1	LRG_763t1	LRG_763t1e47	47	TRUE	1	3144
LRG_763	142255	142468	214	+	LRG_763p1	LRG_763t1	LRG_763t1e48	48	TRUE	1	3144
LRG_763	142890	143035	146	+	LRG_763p1	LRG_763t1	LRG_763t1e49	49	TRUE	1	3144
LRG_763	144284	144461	178	+	LRG_763p1	LRG_763t1	LRG_763t1e50	50	TRUE	1	3144
LRG_763	145436	145537	102	+	LRG_763p1	LRG_763t1	LRG_763t1e51	51	TRUE	1	3144
LRG_763	148091	148278	188	+	LRG_763p1	LRG_763t1	LRG_763t1e52	52	TRUE	1	3144
LRG_763	150508	150634	127	+	LRG_763p1	LRG_763t1	LRG_763t1e53	53	TRUE	1	3144
LRG_763	152713	152813	101	+	LRG_763p1	LRG_763t1	LRG_763t1e54	54	TRUE	1	3144
LRG_763	153732	153886	155	+	LRG_763p1	LRG_763t1	LRG_763t1e55	55	TRUE	1	3144
LRG_763	154318	154457	140	+	LRG_763p1	LRG_763t1	LRG_763t1e56	56	TRUE	1	3144
LRG_763	155987	156069	83	+	LRG_763p1	LRG_763t1	LRG_763t1e57	57	TRUE	1	3144
LRG_763	158941	159071	131	+	LRG_763p1	LRG_763t1	LRG_763t1e58	58	TRUE	1	3144
LRG_763	159206	159335	130	+	LRG_763p1	LRG_763t1	LRG_763t1e59	59	TRUE	1	3144
LRG_763	160213	160368	156	+	LRG_763p1	LRG_763t1	LRG_763t1e60	60	TRUE	1	3144
LRG_763	163489	163679	191	+	LRG_763p1	LRG_763t1	LRG_763t1e61	61	TRUE	1	3144
LRG_763	165610	165724	115	+	LRG_763p1	LRG_763t1	LRG_763t1e62	62	TRUE	1	3144
LRG_763	165891	166104	214	+	LRG_763p1	LRG_763t1	LRG_763t1e63	63	TRUE	1	3144
LRG_763	166475	166580	106	+	LRG_763p1	LRG_763t1	LRG_763t1e64	64	TRUE	1	3144
LRG_763	168773	168935	163	+	LRG_763p1	LRG_763t1	LRG_763t1e65	65	TRUE	1	3144
LRG_763	169144	169304	161	+	LRG_763p1	LRG_763t1	LRG_763t1e66	66	TRUE	1	3144
LRG_763	170172	170382	211	+	LRG_763p1	LRG_763t1	LRG_763t1e67	67	TRUE	1	3144
